date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2017-09-29,2017092919070501,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬イ,2017092919070501:2,2015104962,フェスタジョーヌ,1,2,2,牡,2,458.0,御神本訓史,30983,川島正一,11325,1:03.2,-,38.3,2-2,1.0
2017-09-29,2017092919070501,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬イ,2017092919070501:1,2015100437,マッドアイ,2,1,1,牝,2,443.0,酒井忍,30706,山田信大,11426,1:03.8,３,39.1,1-1,2.0
2017-09-29,2017092919070501,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬イ,2017092919070501:3,2015101129,トーセンキャニオン,3,3,3,牡,2,435.0,☆臼井健太郎,31251,山中尊徳,11335,1:04.3,２ 1/2,39.2,3-3,4.0
2017-09-29,2017092919070501,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬イ,2017092919070501:4,2015101470,アーバン,4,4,4,牡,2,462.0,瀧川寿希也,31232,新井清重,11272,1:07.6,大差,42.5,3-4,3.0
2017-09-29,2017092919070501,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬イ,2017092919070501:5,2015100013,マキバハミドリ,-,5,5,牝,2,,山本聡紀,31220,佐藤賢二,10985,-,出走取消,,-,
2017-09-29,2017092919070502,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬ア,2017092919070502:5,2015105536,マイディア,1,5,5,牝,2,462.0,山本聡紀,31220,佐藤賢二,10985,1:03.6,-,39.3,2-2,6.0
2017-09-29,2017092919070502,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬ア,2017092919070502:4,2015101087,トーセンカノープス,2,4,4,牝,2,388.0,御神本訓史,30983,川島正一,11325,1:03.8,１,39.2,3-4,3.0
2017-09-29,2017092919070502,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬ア,2017092919070502:2,2015105645,モンスターバルド,3,2,2,牡,2,479.0,真島大輔,31053,齊藤敏,11055,1:03.9,クビ,39.0,4-3,4.0
2017-09-29,2017092919070502,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬ア,2017092919070502:1,2015106336,グローリアスルナ,4,1,1,牝,2,430.0,森泰斗,30942,新井清重,11272,1:04.0,3/4,39.8,1-1,1.0
2017-09-29,2017092919070502,船橋,1000,晴,不良,紅葉葵デビュー ２歳 新馬ア,2017092919070502:3,2015101528,ナンディナ,5,3,3,牡,2,477.0,本橋孝太,31155,稲益貴弘,11401,1:05.7,８,39.8,5-5,2.0
